category;term;genus;needs_vowel_article;ref
expression;à son égard;;;
verbe;abattre qc.;;;
verbe;abattre des arbres;;;
adjectif;abîmé;;;
verbe;abolir qc.;;;
nom;accumulateur;m;true;
verbe;accumuler;;;
nom;acheminement;m;true;
adjectif;affectif;;;
verbe;agrandir;;;
verbe;aimer qc.;;;
nom;aîné;m;true;
expression;aller dans Paris;;;
expression;aller en avion;;;
verbe;aller en cure;;;
nom;âme;f;true;
nom;aménagement;m;true;
nom;amortissement;m;true;
verbe;annuler qc.;;;
expression;apporter du caractère;;;
expression;apprendre sur le tas;;;
nom;arabesque;f;true;
nom;arbitre;m;true;
nom;arbre généalogique;m;true;
nom;arbuste;m;true;
nom;argent;m;true;
nom;argenterie;f;true;
verbe;arpenter;;;
adjectif;artisanal;;;
verbe;atteindre;;;
verbe;attendre qc.;;;
nom;attente;f;true;
verbe;atterrir;;;
nom;atterrissage;m;true;
expression;au bord de qc.;;true;
expression;au bord du Rhin;;;
expression;au fil des années;;;
expression;au lieu de;;;
expression;au mois d’octobre;;;
phrase;Au sol, le traçage des voies interpelle;;;
nom;aulne;m;true;
nom;automobiliste;m;true;
expression;autre part;;;
adverbe;autrefois;;;
nom;autrui;m;true;
expression;avant même que + subj.;;;
expression;avec ferveur;;;
nom;aveu confidentiel;m;true;
nom;avis appuyé;m;true;
nom;avis de décès;m;true;
verbe;avoir du mal à faire qc;;;
expression;avoir le cafard;;;
expression;avoir mal à s’en passer;;;
nom;bagages;mpl;false;
nom;bagarre;f;false;
nom;bague;f;false;
nom;barque;f;false;
nom;barrage;m;false;
adjectif;bâti;;;
verbe;battre;;;
adjectif;battu;;;
nom;bavardage;m;false;
nom;bazar;m;false;
nom;biberon;m;false;
expression;bien s’entendre avec qn.;;;
nom;bilan économique;m;false;
nom;billet;m;false;
verbe;blâmer;;;
adjectif;bon marché;;;
adjectif;bondé;;;
nom;borne de recharge;f;false;
nom;bosse;f;false;
nom;bottes de ski;fpl;false;
nom;bouchon;m;false;
nom;boucles;fpl;false;
nom;boue;f;false;
nom;bouleau;m;false;
nom;boum;f;false;
nom;braderie;f;false;
nom;brocante;f;false;
nom;brouillon;m;false;
verbe;brûler;;;
adjectif;brut;;;
expression;Ça nous arrange bien.;;;
phrase;Ça y fait quand il y a moins de voitures.;;;
nom;cabas;m;false;
nom;cabas en toile;m;false;
nom;cabinet;m;false;
nom;cadet;m;false;
nom;cadre;m;false;
nom;cafard;m;false;
verbe;cafter;;;
nom;cafteuse;f;false;
nom;camping;m;false;
nom;camping-car;m;false;
nom;canon à neige;m;false;
nom;cargaison;f;false;
nom;carrelage;m;false;
nom;casque;m;false;
nom;casquette;f;false;
expression;céder à une tentation;;;
adjectif;celte;;;
nom;cerisier;m;false;
adjectif;chaleureux;;;
verbe;challenger une réponse;;;
nom;changement climatique;m;false;
verbe;changer de place;;;
expression;changer de sujet;;;
nom;chantier;m;false;
nom;chapelle;f;false;
nom;chauffe eau instantané;m;false;
nom;chêne;m;false;
nom;chiffre d’affaires;m;false;
verbe;chuchoter;;;
nom;chute de pierres;f;false;
nom;cible;f;false;
nom;cigogne;f;false;
nom;clé;f;false;
nom;Coccinelle;f;false;
nom;coin;m;false;
nom;colline;f;false;
verbe;combler;;;
adjectif;commode;;;
adjectif;complaisant;;;
nom;complicité;f;false;
nom;concept;m;false;
nom;confident / confidente;m/f;false;
nom;confinement;m;false;
verbe;confondre qc.;;;
nom;conseiller / conseillère de vie;m/f;false;
nom;convivialité;f;false;
nom;couche;f;false;
nom;coucher de soleil;m;false;
nom;coupure;f;false;
nom;coupure d’électricité;f;false;
nom;couronne (d’un arbre);f;false;
nom;cours de français;m;false;
nom;couteau;m;false;
nom;couvert;m;false;
nom;crèche;f;false;
adjectif;crevant;;;
expression;crier dessus qn;;;
nom;Crit’Air;m;false;
verbe;croiser qn;;;
nom;cuillère;f;false;
nom;cycliste;m;false;
adverbe;d’autrefois;;;
nom;damage;m;false;
nom;dameuse;f;false;
expression;dans la rue;;;
expression;dans le centre;;;
expression;davantage de;;;
verbe;débloquer;;;
verbe;déborder;;;
nom;début;m;false;
nom;décollage;m;false;
verbe;décoller;;;
nom;dégât;m;false;
adjectif;dégoûtant;;;
verbe;démarrer;;;
verbe;demeurer;;;
nom;demi-frère / demie-sœur;m/f;false;
verbe;déneiger;;;
nom;dénivelé;m;false;
expression;dès que;;;
nom;désert;m;false;
verbe;désinfecter qc.;;false;
adjectif;désinhibé;;;
expression;détendre les liens;;;
verbe;détériorer qc.;;;
verbe;diminuer;;;
expression;discussion vive;;;
verbe;dissimuler;;;
verbe;distinguer qc.;;;
nom;dot;f;false;
nom;double/triple vitrage;m;false;
verbe;doubler;;;
nom;drap;m;false;
expression;dresser un constat;;;
expression;dû à;;;
adverbe;du moins;;;
adjectif;dur;;;
verbe;ébrécher;;;
nom;écouteurs;mpl;false;
nom;éducation;f;true;
verbe;éduquer;;;
nom;effacement;m;true;
adjectif;égal / égaux;;;
verbe;élargir qc.;;;
verbe;embellir;;;
nom;embouteillage;m;true;
adjectif;embrumé;;;
adjectif;emprunté;;;
nom;émulation;f;true;
expression;en abondance;;;
expression;en Bavière;;;
expression;en Croatie;;;
expression;en Grèce;;;
adjectif;en vigueur;;;
adjectif;encombré;;;
verbe;enlever des arbres;;;
verbe;enlever qc;;;
nom;enquêteur;m;true;
expression;entendre dire;;;
nom;entraide;f;true;
verbe;entretenir;;;
nom;entretien;m;true;
nom;entretien d’embauche;m;true;
nom;éolienne;f;true;
nom;épaisseur;f;true;
nom;épanchement;m;true;
nom;épicéa;m;true;
nom;épopée;f;true;
verbe;équilibrer;;;
nom;érable;m;true;
adjectif;esthétique;;;
nom;estuaire;m;true;
expression;étaler qc. sur l’année;;;
expression;être dans le déni;;;
expression;être en bon état;;;
expression;être en rénovation;;;
expression;être le/la bienvenue;;;
expression;être muni de qc;;;
expression;être prématuré;;;
verbe;évoquer;;;
nom;examen;m;true;
nom;exposition;f;true;
nom;extension;f;true;
adjectif;fâché;;;
nom;faïence;f;false;
verbe;faire de la luge;;;
expression;faire des appels de phare;;;
verbe;faire des randonnées;;;
expression;faire figure de bon élève;;;
verbe;faire la poussière;;;
expression;faire la route;;;
expression;faire le malade;;;
expression;faire perdurer qc;;;
adjectif;fatigant;;;
nom;faux jumeaux;mpl;false;
nom;fédéralisme;m;false;
nom;feux;mpl;false;
adjectif;fiévreusement;;;
nom;filet;m;false;
nom;fils/fille unique;m/f;false;
nom;fissure;f;false;
nom;flics;mpl;false;
adjectif;fluide;;;
verbe;fondre;;;
nom;fontaine;f;false;
nom;forage;m;false;
nom;forêt mixte;f;false;
verbe;fouiller;;;
nom;fourchette;f;false;
verbe;fournir;;;
adjectif;franc / franche;;;
nom;franchise;f;false;
nom;fratrie;f;false;
nom;frein;m;false;
nom;frigidaire;m;false;
nom;frisson;m;false;
nom;froid;m;false;
verbe;garer la voiture;;;
verbe;gâter qn;;;
nom;gaz à effet de serre;mpl;false;
nom;gaz d’échappement;mpl;false;
verbe;geler;;;
nom;généalogie;f;false;
expression;gérer des désaccords;;;
expression;gérer un conflit;;;
nom;glacier;m;false;
nom;GPS;mpl;false;
adjectif;grec/grecque;;;
verbe;gronder;;;
verbe;guérir;;;
nom;guêtres;fpl;false;
nom;gyrophare;m;false;
nom;habits de ski;mpl;true;
nom;haie;f;true;
nom;haut-parleur;m;true;
nom;héliportage;m;true;
verbe;hésiter à faire qc;;;
nom;hêtre;m;false;
nom;horloge;f;true;
expression;hors de la famille;;;
adjectif;houleux;;;
nom;hydrogène;m;true;
adjectif;impair;;;
nom;indice;m;true;
nom;infusion;f;true;
nom;inondation;f;true;
adjectif;insolent;;;
adjectif;insolite;;;
nom;interlocuteur;m;true;
verbe;interpeller;;;
phrase;j’y suis allé;;;
adjectif;jovial;;;
nom;jumeaux;mpl;false;
nom;jumelles;fpl;false;
nom;justificatif de domicile;m;false;
nom;kérosène;m;false;
verbe;klaxonner;;;
expression;La Haye;;;
nom;lac;m;false;
phrase;le terrain est en pente;;;
adjectif;léger;;;
nom;légume;m;false;
nom;lettre de condoléances;f;false;
nom;levure;f;false;
nom;lieu d’achat;m;false;
expression;loin d’être le cas;;;
adjectif;lointain;;;
expression;lorsque / afin que;;;
adjectif;lourd;;;
nom;lustre;m;false;
nom;magie;f;false;
nom;maire;m;false;
nom;maison de vacances;f;false;
adjectif;mal assuré;;;
expression;mal s’entendre avec qn.;;;
expression;malgré moi;;;
nom;manifestation;f;false;
nom;marais;m;false;
verbe;marchander;;;
nom;marché aux puces;m;false;
nom;marque;f;false;
nom;matériau;m;false;
nom;matériel;m;false;
nom;maternelle;f;false;
nom;méduse;f;false;
adjectif;meilleur marché;;;
nom;mélange;m;false;
nom;mémoire;f;false;
nom;mer Baltique;f;false;
nom;merisier;m;false;
nom;mesure;f;false;
nom;mètre cube;m;false;
nom;métro;m;false;
expression;mettre qc à l’épreuve;;;
expression;milliers;;;
nom;moniteur de parapente;m;false;
nom;mouchoir;m;false;
nom;nappe;f;false;
expression;ne guère;;;
expression;ne pas prendre de gants;;;
adjectif;négligeable;;;
verbe;nouer qc avec qc;;;
nom;oiseau migrateur;m;true;
adverbe;or;;;
nom;oreillette;f;true;
nom;otorhino;m;true;
verbe;oublier qc.;;;
adjectif;pair;;;
nom;pancarte;f;false;
nom;panneau solaire;m;false;
expression;par convention;;;
expression;par intérim;;;
expression;par intermédiaire;;;
travail;parcourir une étude;;;
nom;parquet;m;false;
nom;parquet flottant;m;false;
expression;pas de / beaucoup de;;;
expression;passer par Paris;;;
expression;passer sur la périphérie;;;
nom;pâte d'amandes;f;false;
verbe;patiner;;;
verbe;pénaliser qc;;;
nom;pente;f;false;
nom;période glaciaire;f;false;
nom;périphérie;f;false;
nom;périphérique;m;false;
nom;perte;f;false;
nom;phénomène;m;false;
nom;piéton;m;false;
adjectif;piétonnisé;;;
nom;pin;m;false;
nom;pin parasol;m;false;
nom;pipelette;f;false;
nom;piste cyclable;f;false;
nom;plagiat;m;false;
nom;plaie;f;false;
verbe;plaisanter;;;
adverbe;plein de qc.;;;
verbe;polir;;;
nom;pollution sonore;f;false;
nom;pompe à chaleur;f;false;
nom;porcelaine;f;false;
nom;portefeuille;m;false;
expression;porter qc. à qn.;;;
verbe;posséder qc.;;;
expression;pour autant;;;
nom;pour cent;m;false;
verbe;pousser;;;
verbe;pousser qc.;;;
nom;poussette;f;false;
nom;prédiction;f;false;
expression;prendre fin;;;
nom;prévision;f;false;
nom;probabilité;f;false;
nom;radar;m;false;
nom;rage de dents;f;false;
nom;rail;m;false;
verbe;ralentir;;;
nom;randonnée;f;false;
verbe;randonner;;;
nom;rang de naissance;m;false;
verbe;rapporter;;;
nom;raquettes;fpl;false;
verbe;rassembler;;;
adjectif;rayonnante;;;
adjectif;rebelle;;;
verbe;rebondir;;;
nom;réchauffement climatique;m;false;
adjectif;reclus socialement;;;
verbe;récompenser qn;;;
