key;category;term;genus;ref
(ein Fahrrad) schieben;expression;(ein Fahrrad) schieben;;
Abgase;nom;Abgase;npl;
Absatz;nom;Absatz;m;
Ahnenforschung;nom;Ahnenforschung;f;
Ahorn;nom;Ahorn;m;
Amortisation;nom;Amortisation;f;
Ampel;nom;Ampel;f;
Anfang;nom;Anfang;m;
Anhänger;nom;Anhänger;m;
Anlage;nom;Anlage;f;
Anwohner;nom;Anwohner;m;
Arabeske;nom;Arabeske;f;
Arbeit;nom;Arbeit;f;
Auktion;nom;Auktion;f;
Ausrüstung;nom;Ausrüstung;f;
Ausstellung;nom;Ausstellung;f;
Aussteuer;nom;Aussteuer;f;
Autobahnabschnitt;nom;Autobahnabschnitt;m;
Autofahrer;nom;Autofahrer;m;
Baumkrone;nom;Baumkrone;f;
Baustelle;nom;Baustelle;f;
Beileidsbrief;nom;Beileidsbrief;m;
Besteck;nom;Besteck;n;
Bettlaken;nom;Bettlaken;n;
Bewerbungsgespräch;nom;Bewerbungsgespräch;n;
Bindungen lockern;expression;Bindungen lockern;;
Birke;nom;Birke;f;
Blaulicht;nom;Blaulicht;n;
Blitzer;nom;Blitzer;m;
Bodenwelle;nom;Bodenwelle;f;
Bohrung;nom;Bohrung;f;
Boot;nom;Boot;n;
Bremse;nom;Bremse;f;
Brieftasche;nom;Brieftasche;f;
Brunnen;nom;Brunnen;m;
Buche;nom;Buche;f;
Bullen (Polizei);expression;Bullen (Polizei);mpl;
Bäume entfernen;expression;Bäume entfernen;;
Bäume fällen;expression;Bäume fällen;;
Bürgermeister;nom;Bürgermeister;m;
Campen;nom;Campen;n;
Camping;nom;Camping;n;
Charakter verleihen;expression;Charakter verleihen;;
Crit'Air-Plakette;nom;Crit'Air-Plakette;f;
Dachbodenflohmarkt;nom;Dachbodenflohmarkt;m;
Das macht etwas aus, wenn weniger Autos unterwegs sind.;expression;Das macht etwas aus, wenn weniger Autos unterwegs sind.;;
Das passt uns gut.;expression;Das passt uns gut.;;
Datenspeicher;nom;Datenspeicher;m;
Demonstration;nom;Demonstration;f;
Den Haag;expression;Den Haag;;
Dicke;nom;Dicke;f;
Die Markierung der Fahrbahnen fällt auf;expression;Die Markierung der Fahrbahnen fällt auf;;
Doppel-/Dreifachverglasung;nom;Doppel-/Dreifachverglasung;f;
Drittel;nom;Drittel;n;
Durchlauferhitzer;nom;Durchlauferhitzer;m;
Dürre;nom;Dürre;f;
E-Scooter;nom;E-Scooter;m;
Ecke;nom;Ecke;f;
Ehrlichkeit;nom;Ehrlichkeit;f;
Eiche;nom;Eiche;f;
Einbahnstraße;nom;Einbahnstraße;f;
Einkaufstasche;nom;Einkaufstasche;f;
Einmaleins;nom;Einmaleins;n;
Einzelkind;nom;Einzelkind;n;
Eiszeit;nom;Eiszeit;f;
Energiespeicher;nom;Energiespeicher;m;
Entfernung;nom;Entfernung;f;
Entwurf;nom;Entwurf;m;
Epos;nom;Epos;n;
Erderwärmung;nom;Erderwärmung;f;
Erle;nom;Erle;f;
Ermittler;nom;Ermittler;m;
Erwartung;nom;Erwartung;f;
Erweiterung;nom;Erweiterung;f;
Erziehung;nom;Erziehung;f;
Fahrradweg;nom;Fahrradweg;m;
Ferienhaus;nom;Ferienhaus;n;
Fichte;nom;Fichte;f;
Flohmarkt;nom;Flohmarkt;m;
Flug;nom;Flug;m;
Fläschchen;nom;Fläschchen;n;
Fracht;nom;Fracht;f;
Französischkurs;nom;Französischkurs;m;
Fundstück;nom;Fundstück;n;
Fußgänger;nom;Fußgänger;m;
Fußgängerzone;nom;Fußgängerzone;f;
Föderalismus;nom;Föderalismus;m;
GPS-Geräte;nom;GPS-Geräte;npl;
Gabel;nom;Gabel;f;
Gamaschen;nom;Gamaschen;fpl;
Geburtenrate;nom;Geburtenrate;f;
Geburtsrang;nom;Geburtsrang;m;
Gefühlsausbruch;nom;Gefühlsausbruch;m;
Geldschein;nom;Geldschein;m;
Gemälde;nom;Gemälde;n;
Gemüse;nom;Gemüse;n;
Genügsamkeit;nom;Genügsamkeit;f;
Gepäck;nom;Gepäck;n;
Geschirr;nom;Geschirr;n;
Geschwister;nom;Geschwister;pl;
Geselligkeit;nom;Geselligkeit;f;
Gespräch;nom;Gespräch;n;
Gesprächspartner;nom;Gesprächspartner;m;
Gipfel;nom;Gipfel;m;
Gleitschirmlehrer;nom;Gleitschirmlehrer;m;
Gletscher;nom;Gletscher;m;
Grün;nom;Grün;n;
HNO-Arzt;nom;HNO-Arzt;m;
Halbbruder / Halbschwester;expression;Halbbruder / Halbschwester;m/f;
Haufen;nom;Haufen;m;
Hauptstraße;nom;Hauptstraße;f;
Hecke;nom;Hecke;f;
Hefe;nom;Hefe;f;
Helikoptertransport;nom;Helikoptertransport;m;
Helm;nom;Helm;m;
Hinweis;nom;Hinweis;m;
Hocker;nom;Hocker;m;
Höhenunterschied;nom;Höhenunterschied;m;
Hügel;nom;Hügel;m;
In-Ear-Kopfhörer;nom;In-Ear-Kopfhörer;mpl;
Jüngster;nom;Jüngster;m;
Kachel;nom;Kachel;f;
Kakerlake;nom;Kakerlake;f;
Kapelle;nom;Kapelle;f;
Kappe;nom;Kappe;f;
Kaufort;nom;Kaufort;m;
Kerosin;nom;Kerosin;n;
Kiefer;nom;Kiefer;f;
Kindergarten;nom;Kindergarten;f;
Kinderkrippe;nom;Kinderkrippe;f;
Kinderwagen;nom;Kinderwagen;m;
Kirschbaum;nom;Kirschbaum;m;
Kirschholz;nom;Kirschholz;n;
Klimawandel;nom;Klimawandel;m;
Konzept;nom;Konzept;n;
Kopfhörer (Over-Ear);expression;Kopfhörer (Over-Ear);m;
Korken / Deckel;expression;Korken / Deckel;m;
Kram;nom;Kram;m;
Kribbeln;nom;Kribbeln;n;
Kronleuchter;nom;Kronleuchter;m;
Kräutertee;nom;Kräutertee;m;
Kubikmeter;nom;Kubikmeter;m;
Kurort;nom;Kurort;m;
Käfer (Tier);expression;Käfer (Tier);m;
Kälte;nom;Kälte;f;
Kühlschrank;nom;Kühlschrank;m;
