category;term;genus;needs_vowel_article;ref
verbe;s'inscrire;;;
nom;manifestation;f;false;
verbe;désinfecter qc.;;false;
nom;frigidaire;m;false;
nom;camping;m;false;
nom;sac de couchage;m;false;
adjectif;viticole;;;
verbe;faire des randonnées;;;
verbe;randonner;;;
nom;dénivelé;m;false;
nom;chapelle;f;false;
expression;en Bavière;;;
nom;station thermale;f;false;
verbe;aller en cure;;;
adjectif;crevant;;;
adjectif;fatigant;;;
adjectif;dur;;;
nom;rôle;m;false;
adjectif;dégoûtant;;;
nom;colline;f;false;
nom;sacoche;f;false;
nom;bagages;mpl;false;
verbe;pousser (un vélo);;;
verbe;rouler;;;
nom;casquette;f;false;
adjectif;lourd;;;
adjectif;léger;;;
nom;aménagement;m;true;
nom;estuaire;m;true;
expression;en Grèce;;;
adjectif;grec/grecque;;;
expression;être en rénovation;;;
nom;pâte d'amandes;f;false;
nom;camping-car;m;false;
adjectif;bondé;;;
expression;sur la côte;;;
expression;aller en avion;;;
expression;dans le centre;;;
nom;enquêteur;m;true;
nom;désert;m;false;
nom;vol;m;false;
nom;exposition;f;true;
nom;tableau;m;false;
adjectif;scandinave;;;
nom;parquet;m;false;
nom;parquet flottant;m;false;
nom;chêne;m;false;
nom;aulne;m;true;
nom;hêtre;m;false;
nom;pin;m;false;
nom;érable;m;true;
nom;épicéa;m;true;
nom;pin parasol;m;false;
nom;bouleau;m;false;
nom;cerisier;m;false;
nom;merisier;m;false;
nom;mélange;m;false;
nom;marché aux puces;m;false;
nom;vaisselle;f;false;
nom;marque;f;false;
adjectif;bon marché;;;
adjectif;meilleur marché;;;
nom;TVA;f;false;
nom;pancarte;f;false;
nom;brocante;f;false;
nom;vide-greniers;f;false;
expression;dès que;;;
expression;son regard s’illumine;;;
phrase;;;;
adjectif;fiévreusement;;;
adjectif;lointain;;;
nom;trouvaille;f;false;
expression;faire la route;;;
expression;avant même que + subj.;;;
nom;cabas en toile;m;false;
nom;thermos;m;false;
nom;billet;m;false;
nom;lieu d’achat;m;false;
nom;périphérie;f;false;
nom;phénomène;m;false;
verbe;se répandre;;;
expression;milliers;;;
nom;coin;m;false;
verbe;chuchoter;;;
verbe;ébrécher;;;
verbe;évoquer;;;
nom;âme;f;true;
nom;horloge;f;true;
verbe;se patiner;;;
expression;apporter du caractère;;;
verbe;plaisanter;;;
expression;avec ferveur;;;
phrase;;;;
nom;convivialité;f;false;
phrase;;;;
nom;frisson;m;false;
nom;rotin;m;false;
expression;malgré moi;;;
expression;une passion m’a gagnée;;;
adjectif;rayonnante;;;
expression;céder à une tentation;;;
adjectif;embrumé;;;
nom;portefeuille;m;false;
nom;coupure;f;false;
verbe;arpenter;;;
adjectif;insolite;;;
verbe;rapporter;;;
nom;magie;f;false;
expression;au fil des années;;;
verbe;vous étiez;;;
expression;en Croatie;;;
nom;maison de vacances;f;false;
nom;attente;f;true;
nom;réderie;f;false;
nom;braderie;f;false;
nom;chiffre d’affaires;m;false;
nom;cabas;m;false;
nom;tissu;m;false;
adjectif;brut;;;
nom;levure;f;false;
nom;biberon;m;false;
nom;remorque;f;false;
verbe;se débarrasser de qc.;;;
verbe;fondre;;;
nom;couvert;m;false;
nom;argent;m;true;
nom;argenterie;f;true;
nom;fourchette;f;false;
nom;couteau;m;false;
nom;cuillère;f;false;
nom;dot;f;false;
nom;porcelaine;f;false;
verbe;polir;;;
nom;lustre;m;false;
adjectif;insolent;;;
nom;perte;f;false;
nom;début;m;false;
nom;faïence;f;false;
nom;vente aux enchères;f;false;
verbe;sauvegarder;;;
nom;drap;m;false;
verbe;marchander;;;
nom;cigogne;f;false;
verbe;faire la poussière;;;
nom;mouchoir;m;false;
nom;trousseau;m;false;
nom;nappe;f;false;
nom;tasse;f;false;
verbe;traîner;;;
nom;bague;f;false;
nom;scientifique;m;false;
nom;réchauffement climatique;m;false;
nom;changement climatique;m;false;
nom;inondation;f;true;
expression;dû à;;;
nom;sécheresse;f;false;
adjectif;sec / sèche;;;
nom;oiseau migrateur;m;true;
nom;forêt mixte;f;false;
nom;glacier;m;false;
nom;viking;m;false;
verbe;s’installer;;;
nom;période glaciaire;f;false;
nom;marais;m;false;
expression;entendre dire;;;
nom;mer Baltique;f;false;
nom;chute de pierres;f;false;
nom;froid;m;false;
verbe;retenir un matériau;;;
nom;fissure;f;false;
verbe;geler;;;
verbe;patiner;;;
verbe;déneiger;;;
verbe;faire de la luge;;;
nom;téléphérique;m;false;
nom;canon à neige;m;false;
nom;borne de recharge;f;false;
verbe;s’échapper;;;
verbe;démarrer;;;
verbe;décoller;;;
nom;décollage;m;false;
verbe;atterrir;;;
nom;atterrissage;m;true;
nom;méduse;f;false;
nom;double/triple vitrage;m;false;
nom;kérosène;m;false;
nom;pompe à chaleur;f;false;
verbe;enlever des arbres;;;
nom;arbuste;m;true;
nom;verdure;f;false;
nom;couronne (d’un arbre);f;false;
verbe;déborder;;;
verbe;abattre;;;
nom;panneau solaire;m;false;
nom;forage;m;false;
adjectif;abîmé;;;
nom;rail;m;false;
verbe;soutenir;;;
nom;tier;m;false;
nom;chauffe eau instantané;m;false;
expression;Ça nous arrange bien.;;;
nom;amortissement;m;true;
nom;carrelage;m;false;
nom;haut-parleur;m;true;
nom;épaisseur;f;true;
expression;ne guère;;;
nom;prévision;f;false;
nom;prédiction;f;false;
nom;dégât;m;false;
verbe;fournir;;;
phrase;;;;
nom;tisane;f;false;
nom;infusion;f;true;
verbe;agrandir;;;
verbe;guérir;;;
nom;skieur;m;false;
adverbe;subitement;;;
expression;au mois d’octobre;;;
nom;couche;f;false;
nom;tabouret;m;false;
nom;rouille;f;false;
verbe;rouiller;;;
nom;souliers;mpl;false;
nom;semelle;f;false;
nom;talon;m;false;
nom;guêtres;fpl;false;
nom;boue;f;false;
nom;filet;m;false;
nom;saisonnier;m;false;
nom;mètre cube;m;false;
nom;stockage;m;false;
nom;retenue;f;false;
nom;acheminement;m;true;
verbe;équilibrer;;;
nom;sommet;m;false;
expression;en abondance;;;
nom;otorhino;m;true;
adjectif;utilisable;;;
nom;héliportage;m;true;
nom;coucher de soleil;m;false;
nom;mémoire;f;false;
nom;accumulateur;m;true;
verbe;accumuler;;;
nom;barque;f;false;
nom;extension;f;true;
nom;damage;m;false;
nom;dameuse;f;false;
verbe;abattre des arbres;;;
verbe;débloquer;;;
nom;thermalisme;m;false;
nom;VTT (Vélo Tout Terrain);m;false;
nom;moniteur de parapente;m;false;
expression;étaler qc. sur l’année;;;
expression;pas de / beaucoup de;;;
nom;habits de ski;mpl;true;
nom;raquettes;fpl;false;
nom;confinement;m;false;
nom;bottes de ski;fpl;false;
nom;matériel;m;false;
nom;matériau;m;false;
expression;sans forfait;;;
adverbe;suffisamment;;;
nom;bilan économique;m;false;
expression;être dans le déni;;;
verbe;avoir du mal à faire qc;;;
nom;hydrogène;m;true;
expression;faire perdurer qc;;;
nom;sobriété;f;false;
nom;gaz à effet de serre;mpl;false;
expression;faire figure de bon élève;;;
nom;éolienne;f;true;
verbe;pousser;;;
verbe;gâter qn;;;
adjectif;artisanal;;;
nom;fils/fille unique;m/f;false;
nom;demi-frère / demie-sœur;m/f;false;
adjectif;franc / franche;;;
nom;franchise;f;false;
nom;taux de natalité;m;false;
nom;fédéralisme;m;false;
nom;cabinet;m;false;
nom;bagarre;f;false;
verbe;cafter;;;
nom;cafteuse;f;false;
expression;avoir le cafard;;;
nom;cafard;m;false;
adjectif;désinhibé;;;
expression;ne pas prendre de gants;;;
expression;gérer un conflit;;;
nom;complicité;f;false;
travail;parcourir une étude;;;
verbe;atteindre;;;
adverbe;tantôt;;;
nom;entraide;f;true;
expression;dresser un constat;;;
nom;cargaison;f;false;
expression;être le/la bienvenue;;;
adjectif;celte;;;
expression;par intermédiaire;;;
verbe;entretenir;;;
nom;entretien;m;true;
nom;entretien d’embauche;m;true;
verbe;s’entretenir;;;
nom;rage de dents;f;false;
adjectif;fâché;;;
verbe;éduquer;;;
nom;éducation;f;true;
verbe;se disputer;;;
verbe;hésiter à faire qc;;;
expression;hors de la famille;;;
expression;apprendre sur le tas;;;
nom;tas;m;false;
adjectif;réjouissant;;;
verbe;demeurer;;;
adjectif;affectif;;;
expression;gérer des désaccords;;;
nom;fratrie;f;false;
verbe;pénaliser qc;;;
expression;pour autant;;;
nom;rang de naissance;m;false;
verbe;répandre;;;
