key;category;term;genus;ref
(ein Fahrrad) schieben;verbe;(ein Fahrrad) schieben;;
Absatz;nom;Absatz;m;
Ahnenforschung;nom;Ahnenforschung;f;
Ahorn;nom;Ahorn;m;
Amortisation;nom;Amortisation;f;
Anfang;nom;Anfang;m;
Anhänger;nom;Anhänger;m;
Anlage;nom;Anlage;f;
Anwohner;nom;Anwohner;m;
Arabeske;nom;Arabeske;f;
Auktion;nom;Auktion;f;
Ausrüstung;nom;Ausrüstung;f;
Ausstellung;nom;Ausstellung;f;
Aussteuer;nom;Aussteuer;f;
Autobahnabschnitt;nom;Autobahnabschnitt;m;
Autofahrer;nom;Autofahrer;m;
Baumkrone;nom;Baumkrone;f;
Baustelle;nom;Baustelle;f;
Beileidsbrief;nom;Beileidsbrief;m;
Besteck;nom;Besteck;n;
Bettlaken;nom;Bettlaken;n;
Bewerbungsgespräch;nom;Bewerbungsgespräch;n;
Bindungen lockern;expression;Bindungen lockern;;
Birke;nom;Birke;f;
Blaulicht;nom;Blaulicht;n;
Bodenwelle;nom;Bodenwelle;f;
Bohrung;nom;Bohrung;f;
Boot;nom;Boot;n;
Bremse;nom;Bremse;f;
Brieftasche;nom;Brieftasche;f;
Buche;nom;Buche;f;
Bullen (Polizei);nom;Bullen (Polizei);mpl;
Bäume entfernen;verbe;Bäume entfernen;;
Bäume fällen;verbe;Bäume fällen;;
Bürgermeister;nom;Bürgermeister;m;
Campen;nom;Campen;n;
Camping;nom;Camping;n;
Charakter verleihen;expression;Charakter verleihen;;
Crit'Air-Plakette;nom;Crit'Air-Plakette;f;
Dachbodenflohmarkt;nom;Dachbodenflohmarkt;m;
Das macht etwas aus, wenn weniger Autos unterwegs sind.;phrase;Das macht etwas aus, wenn weniger Autos unterwegs sind.;;
Das passt uns gut.;expression;Das passt uns gut.;;
Datenspeicher;nom;Datenspeicher;m;
Demonstration;nom;Demonstration;f;
Den Haag;expression;Den Haag;;
Dicke;nom;Dicke;f;
Die Markierung der Fahrbahnen fällt auf;phrase;Die Markierung der Fahrbahnen fällt auf;;
Doppel-/Dreifachverglasung;nom;Doppel-/Dreifachverglasung;f;
Drittel;nom;Drittel;n;
Durchlauferhitzer;nom;Durchlauferhitzer;m;
Dürre;nom;Dürre;f;
Ecke;nom;Ecke;f;
Ehrlichkeit;nom;Ehrlichkeit;f;
Eiche;nom;Eiche;f;
Einbahnstraße;nom;Einbahnstraße;f;
Einkaufstasche;nom;Einkaufstasche;f;
Einmaleins;nom;Einmaleins;n;
Einzelkind;nom;Einzelkind;n;
Eiszeit;nom;Eiszeit;f;
Energiespeicher;nom;Energiespeicher;m;
Entfernung;nom;Entfernung;f;
Entwurf;nom;Entwurf;m;
Epos;nom;Epos;n;
Erderwärmung;nom;Erderwärmung;f;
Erle;nom;Erle;f;
Ermittler;nom;Ermittler;m;
Erwartung;nom;Erwartung;f;
Erweiterung;nom;Erweiterung;f;
Erziehung;nom;Erziehung;f;
Fahrradweg;nom;Fahrradweg;m;
Ferienhaus;nom;Ferienhaus;n;
Fichte;nom;Fichte;f;
Flohmarkt;nom;Flohmarkt;m;
Flug;nom;Flug;m;
Fläschchen;nom;Fläschchen;n;
Französischkurs;nom;Französischkurs;m;
Fundstück;nom;Fundstück;n;
Fußgänger;nom;Fußgänger;m;
Föderalismus;nom;Föderalismus;m;
GPS-Geräte;nom;GPS-Geräte;npl;
Gabel;nom;Gabel;f;
Gamaschen;nom;Gamaschen;fpl;
Geburtenrate;nom;Geburtenrate;f;
Geburtsrang;nom;Geburtsrang;m;
Gefühlsausbruch;nom;Gefühlsausbruch;m;
Geldschein;nom;Geldschein;m;
Gemälde;nom;Gemälde;n;
Gemüse;nom;Gemüse;n;
Genügsamkeit;nom;Genügsamkeit;f;
Gepäck;nom;Gepäck;n;
Geschirr;nom;Geschirr;n;
Geschwister;nom;Geschwister;pl;
Geselligkeit;nom;Geselligkeit;f;
Gespräch;nom;Gespräch;n;
Gesprächspartner;nom;Gesprächspartner;m;
Gipfel;nom;Gipfel;m;
Gleitschirmlehrer;nom;Gleitschirmlehrer;m;
Gletscher;nom;Gletscher;m;
Grün;nom;Grün;n;
HNO-Arzt;nom;HNO-Arzt;m;
Halbbruder / Halbschwester;nom;Halbbruder / Halbschwester;m/f;
Haufen;nom;Haufen;m;
Hauptstraße;nom;Hauptstraße;f;
Hecke;nom;Hecke;f;
Hefe;nom;Hefe;f;
Helikoptertransport;nom;Helikoptertransport;m;
Helm;nom;Helm;m;
Hinweis;nom;Hinweis;m;
Hocker;nom;Hocker;m;
Höhenunterschied;nom;Höhenunterschied;m;
Hügel;nom;Hügel;m;
In-Ear-Kopfhörer;nom;In-Ear-Kopfhörer;mpl;
Jüngster;nom;Jüngster;m;
Kachel;nom;Kachel;f;
Kakerlake;nom;Kakerlake;f;
Kapelle;nom;Kapelle;f;
Kappe;nom;Kappe;f;
Kaufort;nom;Kaufort;m;
Kerosin;nom;Kerosin;n;
Kiefer;nom;Kiefer;f;
Kindergarten;nom;Kindergarten;f;
Kinderkrippe;nom;Kinderkrippe;f;
Kinderwagen;nom;Kinderwagen;m;
Kirschbaum;nom;Kirschbaum;m;
Kirschholz;nom;Kirschholz;n;
Klimawandel;nom;Klimawandel;m;
Kopfhörer (Over-Ear);nom;Kopfhörer (Over-Ear);m;
Korken / Deckel;nom;Korken / Deckel;m;
Kribbeln;nom;Kribbeln;n;
Kronleuchter;nom;Kronleuchter;m;
Kräutertee;nom;Kräutertee;m;
Kubikmeter;nom;Kubikmeter;m;
Kurort;nom;Kurort;m;
Käfer (Tier);nom;Käfer (Tier);m;
Kälte;nom;Kälte;f;
Kühlschrank;nom;Kühlschrank;m;
Ladestation;nom;Ladestation;f;
Ladung / Fracht;nom;Ladung / Fracht;f;
Laminat;nom;Laminat;n;
Landung;nom;Landung;f;
Lautsprecher;nom;Lautsprecher;m;
Lebensberater/in;nom;Lebensberater/in;m/f;
Lichthupe geben;expression;Lichthupe geben;;
Lockdown;nom;Lockdown;m;
Locken;nom;Locken;fpl;
Lärmverschmutzung;nom;Lärmverschmutzung;f;
Löffel;nom;Löffel;m;
Magie;nom;Magie;f;
Marke;nom;Marke;f;
Marzipan;nom;Marzipan;n;
Material;nom;Material;n;
Mehrwertsteuer;nom;Mehrwertsteuer;f;
Messer;nom;Messer;n;
Mischung;nom;Mischung;f;
Mischwald;nom;Mischwald;m;
Mitgift;nom;Mitgift;f;
Mitmensch;nom;Mitmensch;m;
Mountainbike;nom;Mountainbike;n;
Mündung;nom;Mündung;f;
Netz;nom;Netz;n;
Ohrhörer (einzeln);nom;Ohrhörer (einzeln);f;
Ostsee;nom;Ostsee;f;
Parkett;nom;Parkett;n;
Party;nom;Party;f;
Patina bekommen;verbe;Patina bekommen;;
Petze;nom;Petze;f;
Phänomen;nom;Phänomen;n;
Pinie;nom;Pinie;f;
Pistenraupe;nom;Pistenraupe;f;
Plagiat;nom;Plagiat;n;
Plappermaul;nom;Plappermaul;f;
Plauderei;nom;Plauderei;f;
Porzellan;nom;Porzellan;n;
Praxis;nom;Praxis;f;
Prognose;nom;Prognose;f;
Präparierung;nom;Präparierung;f;
Qualle;nom;Qualle;f;
Radfahrer;nom;Radfahrer;m;
Rattan;nom;Rattan;n;
Ring;nom;Ring;m;
Riss;nom;Riss;m;
Rolle;nom;Rolle;f;
Rost;nom;Rost;m;
Rückhaltebecken;nom;Rückhaltebecken;n;
Saisonarbeiter;nom;Saisonarbeiter;m;
Schaden;nom;Schaden;m;
Schicht;nom;Schicht;f;
Schiedsrichter;nom;Schiedsrichter;m;
Schiene;nom;Schiene;f;
Schild;nom;Schild;n;
Schlafsack;nom;Schlafsack;m;
Schlamm;nom;Schlamm;m;
Schlitten fahren;verbe;Schlitten fahren;;
Schlittschuh laufen;verbe;Schlittschuh laufen;;
Schlägerei;nom;Schlägerei;f;
Schnee räumen;verbe;Schnee räumen;;
Schneekanone;nom;Schneekanone;f;
Schneeschuhe;nom;Schneeschuhe;fpl;
Schuhe;nom;Schuhe;mpl;
Schwierigkeiten haben, etw. zu tun;verbe;Schwierigkeiten haben, etw. zu tun;;
See;nom;See;m;
Seele;nom;Seele;f;
Seilbahn;nom;Seilbahn;f;
Silber;nom;Silber;n;
Silberbesteck;nom;Silberbesteck;n;
Skibekleidung;nom;Skibekleidung;f;
Skifahrer;nom;Skifahrer;m;
Skischuhe;nom;Skischuhe;fpl;
Sohle;nom;Sohle;f;
Solarpanel;nom;Solarpanel;n;
Sonnenuntergang;nom;Sonnenuntergang;m;
Speicherung;nom;Speicherung;f;
Sperre;nom;Sperre;f;
Spur / Fahrbahn;nom;Spur / Fahrbahn;f;
Stadtrand;nom;Stadtrand;m;
Stammbaum;nom;Stammbaum;m;
Start;nom;Start;m;
Stau;nom;Stau;m;
Staub wischen;verbe;Staub wischen;;
Steingut;nom;Steingut;n;
Steinschlag;nom;Steinschlag;m;
Stoff;nom;Stoff;m;
Stofftasche;nom;Stofftasche;f;
Storch;nom;Storch;m;
Strauch;nom;Strauch;m;
Straßenarbeiten;expression;Straßenarbeiten;;
Stromausfall;nom;Stromausfall;m;
Sumpf;nom;Sumpf;m;
Taschentuch;nom;Taschentuch;n;
Tasse;nom;Tasse;f;
Tausende;expression;Tausende;;
Tee;nom;Tee;m;
Thermalwesen;nom;Thermalwesen;n;
Thermoskanne;nom;Thermoskanne;f;
Tischdecke;nom;Tischdecke;f;
Todesanzeige;nom;Todesanzeige;f;
Transport;nom;Transport;m;
Treibhausgase;nom;Treibhausgase;mpl;
Trödelmarkt (Nordfrankreich);nom;Trödelmarkt (Nordfrankreich);m;
Trödelmarkt (Picardie);nom;Trödelmarkt (Picardie);m;
Uhr;nom;Uhr;f;
Umhängetasche;nom;Umhängetasche;f;
Umsatz;nom;Umsatz;m;
Uneinigkeiten managen;expression;Uneinigkeiten managen;;
VW-Käfer;nom;VW-Käfer;f;
Verkehr;nom;Verkehr;m;
Verlust;nom;Verlust;m;
Vertraute;nom;Vertraute;m/f;
Vertrautheit;nom;Vertrautheit;f;
Vorhersage;nom;Vorhersage;f;
Wahrscheinlichkeit;nom;Wahrscheinlichkeit;f;
Wasserstoff;nom;Wasserstoff;m;
Wettstreit;nom;Wettstreit;m;
Wikinger;nom;Wikinger;m;
Windkraftanlage;nom;Windkraftanlage;f;
Wissenschaftler;nom;Wissenschaftler;m;
Wohnmobil;nom;Wohnmobil;n;
Wohnsitznachweis;nom;Wohnsitznachweis;m;
Wunde;nom;Wunde;f;
Wärmepumpe;nom;Wärmepumpe;f;
Wüste;nom;Wüste;f;
Zahnschmerzen;nom;Zahnschmerzen;pl;
Zielgruppe;nom;Zielgruppe;f;
Zugvogel;nom;Zugvogel;m;
Zwillinge;nom;Zwillinge;mpl;
Zwillingsschwestern;nom;Zwillingsschwestern;fpl;
abheben;verbe;abheben;;
als Musterschüler gelten;expression;als Musterschüler gelten;;
am Rheinufer;expression;am Rheinufer;;
am Ufer von;expression;am Ufer von;;
an der Küste;expression;an der Küste;;
angeschlagen;verbe;angeschlagen;;
ansammeln;verbe;ansammeln;;
anstatt;expression;anstatt;;
anstrengend;adjectif;anstrengend;;
atmen;verbe;atmen;;
auf dem Gras;expression;auf dem Gras;;
auf der Straße;expression;auf der Straße;;
aufgrund von;expression;aufgrund von;;
aufwerten;verbe;aufwerten;;
aus Konvention;expression;aus Konvention;;
ausgleichen;verbe;ausgleichen;;
ausreichend;adverbe;ausreichend;;
außerhalb der Familie;expression;außerhalb der Familie;;
begrünen;verbe;begrünen;;
bei weitem nicht der Fall sein;expression;bei weitem nicht der Fall sein;;
benachteiligen;verbe;benachteiligen;;
beschuldigen / tadeln;verbe;beschuldigen / tadeln;;
beschädigt;adjectif;beschädigt;;
billig;adjectif;billig;;
das Auto parken;verbe;das Auto parken;;
das Gelände ist abschüssig;phrase;das Gelände ist abschüssig;;
das Thema wechseln;expression;das Thema wechseln;;
den Platz wechseln;verbe;den Platz wechseln;;
