key;category;term;genus;needs_vowel_article;ref
Au sol, le traçage des voies interpelle;expression;Au sol, le traçage des voies interpelle;;;
Coccinelle;nom;Coccinelle;f;false;
Crit'Air;nom;Crit'Air;m;false;
GPS;nom;GPS;mpl;false;
La Haye;expression;La Haye;;;
Solex;nom;Solex;m;false;
TVA;nom;TVA;f;false;
VTT (Vélo Tout Terrain);expression;VTT (Vélo Tout Terrain);m;false;
abattre des arbres;expression;abattre des arbres;;;
abattre qc.;verbe;abattre qc.;;;
abolir qc.;verbe;abolir qc.;;;
abîmé;nom;abîmé;;;
accumulateur;nom;accumulateur;m;true;
accumuler;nom;accumuler;;;
acheminement;nom;acheminement;m;true;
affectif;nom;affectif;;;
agrandir;nom;agrandir;;;
aimer qc.;verbe;aimer qc.;;;
aller dans Paris;expression;aller dans Paris;;;
aller en avion;expression;aller en avion;;;
aller en cure;expression;aller en cure;;;
amortissement;nom;amortissement;m;true;
aménagement;nom;aménagement;m;true;
annuler qc.;verbe;annuler qc.;;;
apporter du caractère;expression;apporter du caractère;;;
apprendre sur le tas;expression;apprendre sur le tas;;;
arabesque;nom;arabesque;f;true;
arbitre;nom;arbitre;m;true;
arbre généalogique;expression;arbre généalogique;m;true;
arbuste;nom;arbuste;m;true;
argent;nom;argent;m;true;
argenterie;nom;argenterie;f;true;
arpenter;nom;arpenter;;;
artisanal;nom;artisanal;;;
atteindre;nom;atteindre;;;
attendre qc.;verbe;attendre qc.;;;
attente;nom;attente;f;true;
atterrir;nom;atterrir;;;
atterrissage;nom;atterrissage;m;true;
au bord de qc.;verbe;au bord de qc.;;true;
au bord du Rhin;expression;au bord du Rhin;;;
au fil des années;expression;au fil des années;;;
au lieu de;expression;au lieu de;;;
au mois d'octobre;expression;au mois d'octobre;;;
aulne;nom;aulne;m;true;
automobiliste;nom;automobiliste;m;true;
autre part;expression;autre part;;;
autrefois;nom;autrefois;;;
autrui;nom;autrui;m;true;
avant même que + subj.;expression;avant même que + subj.;;;
avec ferveur;expression;avec ferveur;;;
aveu confidentiel;expression;aveu confidentiel;m;true;
avis appuyé;expression;avis appuyé;m;true;
