category;term;genus;ref
verbe;sich zu etw. anmelden;;
nom;Demonstration;f;
verbe;etw. desinfizieren;;
nom;Kühlschrank;m;
nom;Campen;n;
nom;Schlafsack;m;
adjectif;weinbau-;;
verbe;wandern;;
nom;Höhenunterschied;m;
nom;Kapelle;f;
expression;in Bayern;;
nom;Kurort;m;
verbe;zur Kur fahren;;
adjectif;anstrengend;;
adjectif;ermüdend;;
adjectif;schwer, hart;;
nom;Rolle;f;
adjectif;ekelhaft;;
nom;Hügel;m;
nom;Umhängetasche;f;
nom;Gepäck;n;
verbe;(ein Fahrrad) schieben;;
verbe;fahren;;
nom;Helm;m;
nom;Kappe;f;
adjectif;schwer;;
adjectif;leicht;;
nom;Anlage;f;
nom;Mündung;f;
expression;in Griechenland;;
adjectif;griechisch;;
expression;renoviert werden;;
nom;Marzipan;n;
nom;Wohnmobil;n;
expression;an der Küste;;
expression;mit dem Flugzeug fliegen;;
expression;im Zentrum;;
nom;Ermittler;m;
nom;Wüste;f;
nom;Flug;m;
nom;Ausstellung;f;
nom;Gemälde;n;
adjectif;skandinavisch;;
nom;Parkett;n;
nom;Laminat;n;
nom;Eiche;f;
nom;Erle;f;
nom;Buche;f;
nom;Kiefer;f;
nom;Ahorn;m;
nom;Fichte;f;
nom;Pinie;f;
nom;Birke;f;
nom;Kirschbaum;m;
nom;Kirschholz;n;
nom;Mischung;f;
nom;Flohmarkt;m;
nom;Geschirr;n;
nom;Marke;f;
adjectif;billig;;
adjectif;günstiger;;
nom;Mehrwertsteuer;f;
nom;Schild;n;
nom;Dachbodenflohmarkt;m;
expression;sobald;;
expression;sein Blick hellt sich auf;;
adjectif;fieberhaft;;
adjectif;fern, entfernt;;
nom;Fundstück;n;
expression;die Strecke zurücklegen;;
expression;noch bevor + verb;;
nom;Stofftasche;f;
nom;Thermoskanne;f;
nom;Kaufort;m;
nom;Stadtrand;m;
nom;Phänomen;n;
verbe;sich verbreiten;;
expression;Tausende;;
nom;Ecke;f;
verbe;flüstern;;
verbe;angeschlagen;;
verbe;erwähnen, ins Gedächtnis rufen;;
nom;Seele;f;
nom;Uhr;f;
verbe;Patina bekommen;;
expression;Charakter verleihen;;
verbe;scherzen;;
expression;leidenschaftlich;;
nom;Geselligkeit;f;
nom;Kribbeln;n;
nom;Rattan;n;
expression;unwillkürlich;;
expression;eine Leidenschaft hat mich gepackt;;
adjectif;strahlend;;
expression;einer Versuchung erliegen;;
adjectif;neblig;;
nom;Brieftasche;f;
nom;Geldschein;m;
verbe;schlendern;;
adjectif;ungewöhnlich;;
verbe;mitbringen;;
nom;Magie;f;
expression;im Lauf der Jahre;;
verbe;ihr wart / Sie waren;;
expression;in Kroatien;;
