fr_id;de_id;priority
1;4;
2;3;
5;23;
6;24;
7;9;
10;8;
11;14;
12;13;
18;15;
19;16;
20;17;
21;22;
25;28;
26;29;
27;30;
32;31;
34;33;
36;35;
38;37;
39;40;
44;43;
45;42;
46;41;
47;50;
48;51;
49;52;
53;54;
55;56;
57;203;
58;59;
61;60;
62;63;
64;67;
65;66;
68;72;
69;70;
71;73;
74;75;
76;77;
78;79;
80;81;
82;84;
83;85;
86;90;
87;89;
88;91;
92;94;
93;95;
96;97;
98;101;
99;100;
102;104;
102;369;
103;105;
106;107;
108;111;
109;110;
112;137;
113;114;
115;116;
117;118;
119;120;
122;121;
123;124;
126;125;
127;15;
128;200;
129;139;
130;131;
132;202;
133;134;
135;136;
140;142;
141;143;
144;147;
145;148;
146;149;
150;153;
151;152;
154;156;
155;157;
158;138;
159;160;
161;164;
162;163;
165;166;
167;169;
168;170;
171;173;
172;174;
175;176;
177;179;
178;180;
181;183;
182;184;
185;188;
186;189;
187;190;
191;192;
193;195;
196;198;
197;199;
201;194;
204;174;
205;206;
207;209;
208;210;
211;212;
213;214;
216;215;
217;220;
218;221;
219;222;
223;225;
224;226;
227;251;
228;231;
229;230;
232;233;
235;236;
237;234;
238;239;
240;241;
243;242;
244;245;
246;248;
247;249;
250;252;
253;254;
255;256;
257;258;
259;260;
261;262;
263;264;
265;266;
270;267;
271;268;
272;269;
273;277;
274;276;
275;278;
280;279;
281;282;
283;285;
284;286;
287;289;
287;290;
288;289;
288;290;
291;292;
293;294;
295;296;
297;298;
299;300;
302;301;
303;304;
305;306;
307;308;
309;310;
311;313;
312;314;
315;316;
317;318;
319;320;
323;324;
325;326;
327;328;
330;329;
331;332;
333;334;
336;335;
350;351;
352;353;
352;354;
359;360;
361;362;
365;366;
367;368;
