id;group;name;date;order
13;SoSe 2026;28.01.2026;28.01.2026;1
14;SoSe 2026;04.02.2026;04.02.2026;2
15;SoSe 2026;11.02.2026;11.02.2026;3
1;WiSe 2025;10.09.2025;2025-09-10;1
2;WiSe 2025;17.09.2025;17.09.2025;2
3;WiSe 2025;24.09.2025;24.09.2025;3
4;WiSe 2025;01.10.2025;01.10.2025;4
5;WiSe 2025;08.10.2025;08.10.2025;5
6;WiSe 2025;29.10.2025;29.10.2025;6
7;WiSe 2025;05.11.2025;05.11.2025;7
8;WiSe 2025;12.11.2025;12.11.2025;8
9;WiSe 2025;19.11.2025;19.11.2025;9
10;WiSe 2025;26.11.2025;26.11.2025;10
11;WiSe 2025;03.12.2025;03.12.2025;11
12;WiSe 2025;10.12.2025;10.12.2025;12
